"occurrenceStatus";"geometry";"pred"
1;c(14.710793, 67.019653);1
1;c(17.6967, 59.08508);1
1;c(12.46024, 59.07533);0,412
1;c(14.47048, 57.68634);0,407
1;c(14.93066, 57.78356);0,21
1;c(14.5691, 67.36644);0,996
1;c(14.53618, 67.27718);0,998
1;c(11.17306, 64.63625);1
1;c(15.07082, 60.35659);0,784
1;c(10.971842, 62.282417);0,938
1;c(16.17003, 61.13165);0,622
1;c(17.91207, 59.64038);0,187
1;c(14.81183, 63.10815);0,801
1;c(13.6058, 58.13727);0,251
1;c(13.47763, 57.98954);0,2
1;c(11.69597, 57.99418);1
1;c(17.92438, 59.66796);0,231
1;c(17.36987, 60.00391);0,222
1;c(18.23118, 60.29734);0,491
1;c(18.08863, 60.23721);0,242
1;c(17.3073, 60.03737);0,211
1;c(13.72109, 63.34925);0,759
1;c(18.74258, 59.98031);0,327
1;c(16.10639, 61.10782);0,497
1;c(15.22104, 61.68555);0,435
1;c(16.52723, 61.58095);0,633
1;c(15.79413, 62.26361);0,498
1;c(16.65769, 59.34747);0,369
1;c(16.73724, 59.33166);0,255
1;c(18.43447, 62.87796);0,279
1;c(16.11457, 63.6478);0,687
1;c(18.44681, 62.87831);0,641
1;c(16.79169, 59.09115);0,328
1;c(16.92342, 59.11563);0,494
1;c(11.90589, 57.44339);1
1;c(14.7256, 63.38779);0,887
1;c(14.58688, 63.33816);0,009
1;c(14.69139, 63.80378);0,5
1;c(14.74773, 63.29298);0,46
1;c(14.71582, 63.01573);0,643
1;c(14.85363, 63.07965);0,649
1;c(14.62567, 63.36522);0,322
1;c(14.71247, 63.80165);0,582
1;c(14.90042, 63.07479);0,703
1;c(14.36296, 62.66499);0,614
1;c(14.79355, 63.09748);0,801
1;c(14.47192, 63.22728);0,757
1;c(14.70116, 63.80555);0,5
1;c(15.32999, 57.62159);0,141
1;c(16.16473, 59.94258);0,614
1;c(15.3636, 58.28457);0,287
1;c(14.65376, 61.0766);0,751
1;c(15.18107, 60.33437);0,794
1;c(14.32062, 59.77469);0,596
1;c(16.10014, 57.39189);0,046
1;c(15.69414, 57.82261);0,208
1;c(16.13256, 59.83622);0,473
1;c(15.49468, 62.79327);0,599
1;c(18.25184, 60.2274);0,47
1;c(18.42945, 60.22882);0,535
1;c(18.43747, 59.99313);0,439
1;c(18.00056, 60.46852);0,475
1;c(18.00769, 60.5456);1
